ticker,n,adf_stat,adf_p,acf_1,ljung_box_10_p
ACB,335,-8.48781573733298,1.3384397321251832e-13,0.04351620648609178,0.043156107002915244
BCM,335,-16.631697744296407,1.6638170675186344e-29,0.09085355106466075,0.4728748408203789
BID,335,-17.08376939087834,7.674613979048098e-30,0.06466889442217537,0.5600648835381523
BVH,335,-13.110255710787735,1.6404210892714971e-24,0.10278357331798518,0.044574742622618506
CTG,335,-14.308770311364599,1.1942035853132421e-26,0.07829796517597716,0.029112543474481035
FPT,335,-14.352264021640861,1.0170496479342871e-26,0.005952313244161952,0.16706425865953442
GAS,335,-3.4056323040730425,0.010768358726437176,0.19694129526598553,9.16773502145483e-05
GVR,335,-5.1730955182400145,9.974907690909351e-06,0.10250397117732117,0.016253590178564984
HDB,335,-4.777197444570697,6.011993856298099e-05,-0.022262862005858385,0.2708539271237926
HPG,335,-17.845786541569765,3.0933626472583037e-30,0.020816032408644183,0.30329551595526716
MBB,335,-13.44934525131461,3.7104926511476315e-25,0.09064328386459142,0.3834948369386714
MSN,335,-13.639046168054973,1.666694130069964e-25,0.20589589394396635,0.0007673399124894913
MWG,335,-8.936888525480168,9.481127413772511e-15,0.14651640049995066,0.0006200110263505309
PLX,335,-6.272429406912349,3.974249647280796e-08,0.18055162064983477,0.0003557600282850242
POW,335,-15.910794004882849,8.128067913630265e-29,0.13515116874314334,0.04599198179768248
SAB,335,-7.068454508555081,5.009076892332411e-10,0.023131605352721126,0.019164229305796567
SHB,335,-17.92215360802254,2.9035258409079282e-30,0.016441378344719045,0.7113172082997068
SSB,335,-6.12403015327515,8.716163084983516e-08,-0.08677456871174545,0.0005452483380837542
SSI,335,-14.1442674691339,2.2183112954923054e-26,0.05303098954213504,0.07465507220091307
STB,335,-14.506684954674263,5.813592975621966e-27,0.01950741698848852,0.13631446656150228
TCB,335,-16.857849317751654,1.1056456666885217e-29,0.07685219387574636,0.13681333576252977
TPB,335,-4.466995208037374,0.00022547983432543266,-0.0370913130213496,0.002482326457786898
VCB,335,-16.2776357035279,3.4375686484314113e-29,0.11259119687794987,0.5175182529164145
VHM,335,-7.95206395280926,3.106849048805966e-12,0.1359556811265064,0.025986262999277396
VIB,335,-6.121294958366135,8.842344751064123e-08,0.020737322897299963,0.013345302527518558
VIC,335,-14.562534518046776,4.768879398080873e-27,0.21771837144767023,0.008112408188153121
VJC,335,-5.3373353553894445,4.5803137827559306e-06,0.1014315371883088,0.20030428640338266
VNM,335,-20.31208956729801,0.0,-0.10822189714542786,0.1355579737864033
VPB,335,-5.34201896466639,4.478569365244405e-06,0.0459405370685165,0.0014733992181876377
VRE,335,-17.064852182202983,7.899696510850569e-30,0.06307607722795253,0.12103305780114205
